/home/paperspace/biomlbench/scripts/gcp-deploy/deploy.py:170: SyntaxWarning: invalid escape sequence '\/'
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/base_events.py", line 691, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File "/home/runner/biomlbench/biomlbench/agents.py", line 417, in run_agent_async
    raise RuntimeError(
RuntimeError: All 1 agent runs failed! This indicates a systematic issue (missing Docker image, API keys, etc.). Check the error messages above and the detailed logs in: /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni

[2025-08-20 01:06:09] Deleting VM: bioml-biomni-polarishub-polaris-adme-fang-solu-1-522b65fe
[2025-08-20 01:06:09] ❌ Job failed on bioml-biomni-manual-open-problems-predict-modality-c4c65bb9: biomni -> manual/open-problems-predict-modality
[2025-08-20 01:06:09] Error output: [2025-08-20 01:01:52,204] [agents.py:461] Running agent 'biomni' on tasks: ['manual/open-problems-predict-modality']
[2025-08-20 01:01:53,536] [agents.py:286] Launching run group: 2025-08-20T01-01-52-GMT_run-group_biomni
[2025-08-20 01:01:53,545] [agents.py:297] Using task-specific time limit of 28800s for task manual/open-problems-predict-modality
[2025-08-20 01:01:53,546] [agents.py:319] Creating 1 workers to serve 1 tasks...
[2025-08-20 01:01:53,754] [utils.py:159] Container created: task-manual-open-problems-predict-modality-2025-08-20T01-01-53-GMT-c1a560e20ffb4a90bf5b6b27543bd99b
[2025-08-20 01:06:07,666] [utils.py:392] Generated submission file: /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni/submission.jsonl
[2025-08-20 01:06:07,666] [agents.py:368] 1 workers ran for 254.12 seconds in total
[2025-08-20 01:06:07,666] [agents.py:369] Results saved to: /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni
[2025-08-20 01:06:07,667] [agents.py:373] ❌ 1/1 runs FAILED!
[2025-08-20 01:06:07,667] [agents.py:374] ✅ 0/1 runs succeeded
[2025-08-20 01:06:08,539] [s3_utils.py:93] S3 uploader initialized for bucket: biomlbench
[2025-08-20 01:06:08,540] [s3_utils.py:108] Compressing 2025-08-20T01-01-52-GMT_run-group_biomni to /tmp/tmpsle7kuje.tar.gz
[2025-08-20 01:06:08,542] [s3_utils.py:134] Uploading tmpsle7kuje.tar.gz (0.0 MB) to s3://biomlbench/v1/artifacts/failed_runs/2025-08-20T01-01-52-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:08,636] [s3_utils.py:142] ✅ Successfully uploaded v1/artifacts/failed_runs/2025-08-20T01-01-52-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:08,636] [agents.py:381] 📤 Successfully uploaded failed run group artifacts to S3 failed_runs folder
[2025-08-20 01:06:08,636] [agents.py:408] 📋 Check detailed error logs:
[2025-08-20 01:06:08,636] [agents.py:409]    cat /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni/manual/open-problems-predict-modality_594d74fe-fcdc-4be6-beae-447b8c4bfba4/run.log
[2025-08-20 01:06:08,636] [agents.py:413] 🚨 AGENT EXECUTION FAILED - See errors above
Traceback (most recent call last):
  File "/home/runner/biomlbench/.venv/bin/biomlbench", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File "/home/runner/biomlbench/biomlbench/cli.py", line 460, in main
    run_agent(args)
  File "/home/runner/biomlbench/biomlbench/agents.py", line 464, in run_agent
    run_group, submission_path = asyncio.run(
                                 ^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 195, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/base_events.py", line 691, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File "/home/runner/biomlbench/biomlbench/agents.py", line 417, in run_agent_async
    raise RuntimeError(
RuntimeError: All 1 agent runs failed! This indicates a systematic issue (missing Docker image, API keys, etc.). Check the error messages above and the detailed logs in: /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni

[2025-08-20 01:06:09] Deleting VM: bioml-biomni-manual-open-problems-predict-modality-c4c65bb9
[2025-08-20 01:06:10] ❌ Job failed on bioml-biomni-proteingym-dms-psae-picp2-tsuboyama--978d-054a0cea: biomni -> proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE
[2025-08-20 01:06:10] Error output: [2025-08-20 01:01:52,195] [agents.py:461] Running agent 'biomni' on tasks: ['proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE']
[2025-08-20 01:01:52,352] [agents.py:286] Launching run group: 2025-08-20T01-01-52-GMT_run-group_biomni
[2025-08-20 01:01:52,360] [agents.py:297] Using task-specific time limit of 28800s for task proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE
[2025-08-20 01:01:52,361] [agents.py:319] Creating 1 workers to serve 1 tasks...
[2025-08-20 01:01:52,801] [utils.py:159] Container created: task-proteingym-dms-PSAE_PICP2_Tsuboyama_2023_1PSE-2025-08-20T01-01-52-GMT-6c8ce8f827644bbaa81da78497e476b0
[2025-08-20 01:06:08,179] [utils.py:392] Generated submission file: /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni/submission.jsonl
[2025-08-20 01:06:08,179] [agents.py:368] 1 workers ran for 255.82 seconds in total
[2025-08-20 01:06:08,179] [agents.py:369] Results saved to: /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni
[2025-08-20 01:06:08,179] [agents.py:373] ❌ 1/1 runs FAILED!
[2025-08-20 01:06:08,179] [agents.py:374] ✅ 0/1 runs succeeded
[2025-08-20 01:06:09,000] [s3_utils.py:93] S3 uploader initialized for bucket: biomlbench
[2025-08-20 01:06:09,001] [s3_utils.py:108] Compressing 2025-08-20T01-01-52-GMT_run-group_biomni to /tmp/tmp0z8y0mp_.tar.gz
[2025-08-20 01:06:09,003] [s3_utils.py:134] Uploading tmp0z8y0mp_.tar.gz (0.0 MB) to s3://biomlbench/v1/artifacts/failed_runs/2025-08-20T01-01-52-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:09,094] [s3_utils.py:142] ✅ Successfully uploaded v1/artifacts/failed_runs/2025-08-20T01-01-52-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:09,094] [agents.py:381] 📤 Successfully uploaded failed run group artifacts to S3 failed_runs folder
[2025-08-20 01:06:09,094] [agents.py:408] 📋 Check detailed error logs:
[2025-08-20 01:06:09,094] [agents.py:409]    cat /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni/proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE_7268d993-fa01-4df0-b8a7-4851ab01a230/run.log
[2025-08-20 01:06:09,094] [agents.py:413] 🚨 AGENT EXECUTION FAILED - See errors above
Traceback (most recent call last):
  File "/home/runner/biomlbench/.venv/bin/biomlbench", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File "/home/runner/biomlbench/biomlbench/cli.py", line 460, in main
    run_agent(args)
  File "/home/runner/biomlbench/biomlbench/agents.py", line 464, in run_agent
    run_group, submission_path = asyncio.run(
                                 ^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 195, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/base_events.py", line 691, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File "/home/runner/biomlbench/biomlbench/agents.py", line 417, in run_agent_async
    raise RuntimeError(
RuntimeError: All 1 agent runs failed! This indicates a systematic issue (missing Docker image, API keys, etc.). Check the error messages above and the detailed logs in: /home/runner/biomlbench/runs/2025-08-20T01-01-52-GMT_run-group_biomni

[2025-08-20 01:06:10] Deleting VM: bioml-biomni-proteingym-dms-psae-picp2-tsuboyama--978d-054a0cea
[2025-08-20 01:06:10] ✅ SSH ready on bioml-biomni-manual-open-problems-label-projection-54ab985d
[2025-08-20 01:06:10] Running job on bioml-biomni-manual-open-problems-label-projection-54ab985d: biomni -> manual/open-problems-label-projection
[2025-08-20 01:06:11] ❌ Job failed on bioml-biomni-proteingym-dms-csn4-mouse-tsuboyama--f8eb-144676e0: biomni -> proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels
[2025-08-20 01:06:11] Error output: [2025-08-20 01:01:56,687] [agents.py:461] Running agent 'biomni' on tasks: ['proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels']
[2025-08-20 01:01:56,769] [agents.py:286] Launching run group: 2025-08-20T01-01-56-GMT_run-group_biomni
[2025-08-20 01:01:56,773] [agents.py:319] Creating 1 workers to serve 1 tasks...
[2025-08-20 01:01:56,924] [utils.py:159] Container created: task-proteingym-dms-CSN4_MOUSE_Tsuboyama_2023_1UFM_indels-2025-08-20T01-01-56-GMT-b6b9213b0d6c4da18f735cfe68af2ad1
[2025-08-20 01:06:09,433] [utils.py:392] Generated submission file: /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni/submission.jsonl
[2025-08-20 01:06:09,433] [agents.py:368] 1 workers ran for 252.66 seconds in total
[2025-08-20 01:06:09,433] [agents.py:369] Results saved to: /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni
[2025-08-20 01:06:09,433] [agents.py:373] ❌ 1/1 runs FAILED!
[2025-08-20 01:06:09,433] [agents.py:374] ✅ 0/1 runs succeeded
[2025-08-20 01:06:10,063] [s3_utils.py:93] S3 uploader initialized for bucket: biomlbench
[2025-08-20 01:06:10,063] [s3_utils.py:108] Compressing 2025-08-20T01-01-56-GMT_run-group_biomni to /tmp/tmpvh_gs951.tar.gz
[2025-08-20 01:06:10,066] [s3_utils.py:134] Uploading tmpvh_gs951.tar.gz (0.0 MB) to s3://biomlbench/v1/artifacts/failed_runs/2025-08-20T01-01-56-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:10,157] [s3_utils.py:142] ✅ Successfully uploaded v1/artifacts/failed_runs/2025-08-20T01-01-56-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:10,157] [agents.py:381] 📤 Successfully uploaded failed run group artifacts to S3 failed_runs folder
[2025-08-20 01:06:10,158] [agents.py:408] 📋 Check detailed error logs:
[2025-08-20 01:06:10,158] [agents.py:409]    cat /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni/proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels_6c7f4237-3300-40fe-89d5-be91b7878761/run.log
[2025-08-20 01:06:10,158] [agents.py:413] 🚨 AGENT EXECUTION FAILED - See errors above
Traceback (most recent call last):
  File "/home/runner/biomlbench/.venv/bin/biomlbench", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File "/home/runner/biomlbench/biomlbench/cli.py", line 460, in main
    run_agent(args)
  File "/home/runner/biomlbench/biomlbench/agents.py", line 464, in run_agent
    run_group, submission_path = asyncio.run(
                                 ^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 195, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/base_events.py", line 691, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File "/home/runner/biomlbench/biomlbench/agents.py", line 417, in run_agent_async
    raise RuntimeError(
RuntimeError: All 1 agent runs failed! This indicates a systematic issue (missing Docker image, API keys, etc.). Check the error messages above and the detailed logs in: /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni

[2025-08-20 01:06:11] Deleting VM: bioml-biomni-proteingym-dms-csn4-mouse-tsuboyama--f8eb-144676e0
[2025-08-20 01:06:11] ❌ Job failed on bioml-biomni-polarishub-tdcommons-caco2-wang-34fe9a00: biomni -> polarishub/tdcommons-caco2-wang
[2025-08-20 01:06:11] Error output: [2025-08-20 01:01:56,681] [agents.py:461] Running agent 'biomni' on tasks: ['polarishub/tdcommons-caco2-wang']
[2025-08-20 01:01:56,788] [agents.py:286] Launching run group: 2025-08-20T01-01-56-GMT_run-group_biomni
[2025-08-20 01:01:56,796] [agents.py:297] Using task-specific time limit of 28800s for task polarishub/tdcommons-caco2-wang
[2025-08-20 01:01:56,798] [agents.py:319] Creating 1 workers to serve 1 tasks...
[2025-08-20 01:01:56,933] [utils.py:159] Container created: task-polarishub-tdcommons-caco2-wang-2025-08-20T01-01-56-GMT-48e87383c993441abee8bfef7369d228
[2025-08-20 01:06:09,335] [utils.py:392] Generated submission file: /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni/submission.jsonl
[2025-08-20 01:06:09,335] [agents.py:368] 1 workers ran for 252.54 seconds in total
[2025-08-20 01:06:09,335] [agents.py:369] Results saved to: /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni
[2025-08-20 01:06:09,335] [agents.py:373] ❌ 1/1 runs FAILED!
[2025-08-20 01:06:09,335] [agents.py:374] ✅ 0/1 runs succeeded
[2025-08-20 01:06:09,976] [s3_utils.py:93] S3 uploader initialized for bucket: biomlbench
[2025-08-20 01:06:09,977] [s3_utils.py:108] Compressing 2025-08-20T01-01-56-GMT_run-group_biomni to /tmp/tmpc7etnggn.tar.gz
[2025-08-20 01:06:09,979] [s3_utils.py:134] Uploading tmpc7etnggn.tar.gz (0.0 MB) to s3://biomlbench/v1/artifacts/failed_runs/2025-08-20T01-01-56-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:10,097] [s3_utils.py:142] ✅ Successfully uploaded v1/artifacts/failed_runs/2025-08-20T01-01-56-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:10,098] [agents.py:381] 📤 Successfully uploaded failed run group artifacts to S3 failed_runs folder
[2025-08-20 01:06:10,098] [agents.py:408] 📋 Check detailed error logs:
[2025-08-20 01:06:10,098] [agents.py:409]    cat /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni/polarishub/tdcommons-caco2-wang_22fa7f19-700e-4a9b-99bf-133e3e00d53d/run.log
[2025-08-20 01:06:10,098] [agents.py:413] 🚨 AGENT EXECUTION FAILED - See errors above
Traceback (most recent call last):
  File "/home/runner/biomlbench/.venv/bin/biomlbench", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File "/home/runner/biomlbench/biomlbench/cli.py", line 460, in main
    run_agent(args)
  File "/home/runner/biomlbench/biomlbench/agents.py", line 464, in run_agent
    run_group, submission_path = asyncio.run(
                                 ^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 195, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/base_events.py", line 691, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File "/home/runner/biomlbench/biomlbench/agents.py", line 417, in run_agent_async
    raise RuntimeError(
RuntimeError: All 1 agent runs failed! This indicates a systematic issue (missing Docker image, API keys, etc.). Check the error messages above and the detailed logs in: /home/runner/biomlbench/runs/2025-08-20T01-01-56-GMT_run-group_biomni

[2025-08-20 01:06:11] Deleting VM: bioml-biomni-polarishub-tdcommons-caco2-wang-34fe9a00
[2025-08-20 01:06:12] ❌ Job failed on bioml-biomni-proteingym-dms-spike-sars2-starr-202-eef5-5523a904: biomni -> proteingym-dms/SPIKE_SARS2_Starr_2020_binding
[2025-08-20 01:06:12] Error output: [2025-08-20 01:01:57,799] [agents.py:461] Running agent 'biomni' on tasks: ['proteingym-dms/SPIKE_SARS2_Starr_2020_binding']
[2025-08-20 01:01:57,851] [agents.py:286] Launching run group: 2025-08-20T01-01-57-GMT_run-group_biomni
[2025-08-20 01:01:57,859] [agents.py:297] Using task-specific time limit of 28800s for task proteingym-dms/SPIKE_SARS2_Starr_2020_binding
[2025-08-20 01:01:57,860] [agents.py:319] Creating 1 workers to serve 1 tasks...
[2025-08-20 01:01:57,954] [utils.py:159] Container created: task-proteingym-dms-SPIKE_SARS2_Starr_2020_binding-2025-08-20T01-01-57-GMT-07f3bb5b7eb2489db252cb0614009444
[2025-08-20 01:06:10,452] [utils.py:392] Generated submission file: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni/submission.jsonl
[2025-08-20 01:06:10,452] [agents.py:368] 1 workers ran for 252.59 seconds in total
[2025-08-20 01:06:10,453] [agents.py:369] Results saved to: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni
[2025-08-20 01:06:10,453] [agents.py:373] ❌ 1/1 runs FAILED!
[2025-08-20 01:06:10,453] [agents.py:374] ✅ 0/1 runs succeeded
[2025-08-20 01:06:11,144] [s3_utils.py:93] S3 uploader initialized for bucket: biomlbench
[2025-08-20 01:06:11,145] [s3_utils.py:108] Compressing 2025-08-20T01-01-57-GMT_run-group_biomni to /tmp/tmpuyobvz66.tar.gz
[2025-08-20 01:06:11,147] [s3_utils.py:134] Uploading tmpuyobvz66.tar.gz (0.0 MB) to s3://biomlbench/v1/artifacts/failed_runs/2025-08-20T01-01-57-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:11,234] [s3_utils.py:142] ✅ Successfully uploaded v1/artifacts/failed_runs/2025-08-20T01-01-57-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:11,234] [agents.py:381] 📤 Successfully uploaded failed run group artifacts to S3 failed_runs folder
[2025-08-20 01:06:11,234] [agents.py:408] 📋 Check detailed error logs:
[2025-08-20 01:06:11,234] [agents.py:409]    cat /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni/proteingym-dms/SPIKE_SARS2_Starr_2020_binding_7814d74a-dc72-4374-bd05-8226b2e05c33/run.log
[2025-08-20 01:06:11,234] [agents.py:413] 🚨 AGENT EXECUTION FAILED - See errors above
Traceback (most recent call last):
  File "/home/runner/biomlbench/.venv/bin/biomlbench", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File "/home/runner/biomlbench/biomlbench/cli.py", line 460, in main
    run_agent(args)
  File "/home/runner/biomlbench/biomlbench/agents.py", line 464, in run_agent
    run_group, submission_path = asyncio.run(
                                 ^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 195, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/base_events.py", line 691, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File "/home/runner/biomlbench/biomlbench/agents.py", line 417, in run_agent_async
    raise RuntimeError(
RuntimeError: All 1 agent runs failed! This indicates a systematic issue (missing Docker image, API keys, etc.). Check the error messages above and the detailed logs in: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni

[2025-08-20 01:06:12] Deleting VM: bioml-biomni-proteingym-dms-spike-sars2-starr-202-eef5-5523a904
[2025-08-20 01:06:12] ❌ Job failed on bioml-biomni-polarishub-polaris-adme-fang-hppb-1-c81dfb10: biomni -> polarishub/polaris-adme-fang-hppb-1
[2025-08-20 01:06:12] Error output: [2025-08-20 01:01:57,677] [agents.py:461] Running agent 'biomni' on tasks: ['polarishub/polaris-adme-fang-hppb-1']
[2025-08-20 01:01:57,713] [agents.py:286] Launching run group: 2025-08-20T01-01-57-GMT_run-group_biomni
[2025-08-20 01:01:57,721] [agents.py:297] Using task-specific time limit of 28800s for task polarishub/polaris-adme-fang-hppb-1
[2025-08-20 01:01:57,722] [agents.py:319] Creating 1 workers to serve 1 tasks...
[2025-08-20 01:01:57,842] [utils.py:159] Container created: task-polarishub-polaris-adme-fang-hppb-1-2025-08-20T01-01-57-GMT-65ed2a3234a84762a22b520f5e51ad07
[2025-08-20 01:06:10,525] [utils.py:392] Generated submission file: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni/submission.jsonl
[2025-08-20 01:06:10,525] [agents.py:368] 1 workers ran for 252.80 seconds in total
[2025-08-20 01:06:10,525] [agents.py:369] Results saved to: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni
[2025-08-20 01:06:10,525] [agents.py:373] ❌ 1/1 runs FAILED!
[2025-08-20 01:06:10,525] [agents.py:374] ✅ 0/1 runs succeeded
[2025-08-20 01:06:11,132] [s3_utils.py:93] S3 uploader initialized for bucket: biomlbench
[2025-08-20 01:06:11,132] [s3_utils.py:108] Compressing 2025-08-20T01-01-57-GMT_run-group_biomni to /tmp/tmpaibhr826.tar.gz
[2025-08-20 01:06:11,135] [s3_utils.py:134] Uploading tmpaibhr826.tar.gz (0.0 MB) to s3://biomlbench/v1/artifacts/failed_runs/2025-08-20T01-01-57-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:11,217] [s3_utils.py:142] ✅ Successfully uploaded v1/artifacts/failed_runs/2025-08-20T01-01-57-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:11,217] [agents.py:381] 📤 Successfully uploaded failed run group artifacts to S3 failed_runs folder
[2025-08-20 01:06:11,217] [agents.py:408] 📋 Check detailed error logs:
[2025-08-20 01:06:11,217] [agents.py:409]    cat /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni/polarishub/polaris-adme-fang-hppb-1_cd6057ab-3259-4304-8b8e-4d4f3b9a44fc/run.log
[2025-08-20 01:06:11,217] [agents.py:413] 🚨 AGENT EXECUTION FAILED - See errors above
Traceback (most recent call last):
  File "/home/runner/biomlbench/.venv/bin/biomlbench", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File "/home/runner/biomlbench/biomlbench/cli.py", line 460, in main
    run_agent(args)
  File "/home/runner/biomlbench/biomlbench/agents.py", line 464, in run_agent
    run_group, submission_path = asyncio.run(
                                 ^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 195, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/base_events.py", line 691, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File "/home/runner/biomlbench/biomlbench/agents.py", line 417, in run_agent_async
    raise RuntimeError(
RuntimeError: All 1 agent runs failed! This indicates a systematic issue (missing Docker image, API keys, etc.). Check the error messages above and the detailed logs in: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni

[2025-08-20 01:06:12] Deleting VM: bioml-biomni-polarishub-polaris-adme-fang-hppb-1-c81dfb10
[2025-08-20 01:06:12] ❌ Job failed on bioml-biomni-polarishub-tdcommons-herg-51fca13c: biomni -> polarishub/tdcommons-herg
[2025-08-20 01:06:12] Error output: [2025-08-20 01:01:57,820] [agents.py:461] Running agent 'biomni' on tasks: ['polarishub/tdcommons-herg']
[2025-08-20 01:01:57,867] [agents.py:286] Launching run group: 2025-08-20T01-01-57-GMT_run-group_biomni
[2025-08-20 01:01:57,875] [agents.py:297] Using task-specific time limit of 28800s for task polarishub/tdcommons-herg
[2025-08-20 01:01:57,876] [agents.py:319] Creating 1 workers to serve 1 tasks...
[2025-08-20 01:01:58,088] [utils.py:159] Container created: task-polarishub-tdcommons-herg-2025-08-20T01-01-57-GMT-1d49ee76497845e78f4a012268a0ec00
[2025-08-20 01:06:10,598] [utils.py:392] Generated submission file: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni/submission.jsonl
[2025-08-20 01:06:10,598] [agents.py:368] 1 workers ran for 252.72 seconds in total
[2025-08-20 01:06:10,598] [agents.py:369] Results saved to: /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni
[2025-08-20 01:06:10,598] [agents.py:373] ❌ 1/1 runs FAILED!
[2025-08-20 01:06:10,598] [agents.py:374] ✅ 0/1 runs succeeded
[2025-08-20 01:06:11,179] [s3_utils.py:93] S3 uploader initialized for bucket: biomlbench
[2025-08-20 01:06:11,179] [s3_utils.py:108] Compressing 2025-08-20T01-01-57-GMT_run-group_biomni to /tmp/tmpwgnrzajq.tar.gz
[2025-08-20 01:06:11,182] [s3_utils.py:134] Uploading tmpwgnrzajq.tar.gz (0.0 MB) to s3://biomlbench/v1/artifacts/failed_runs/2025-08-20T01-01-57-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:11,272] [s3_utils.py:142] ✅ Successfully uploaded v1/artifacts/failed_runs/2025-08-20T01-01-57-GMT_run-group_biomni.tar.gz
[2025-08-20 01:06:11,272] [agents.py:381] 📤 Successfully uploaded failed run group artifacts to S3 failed_runs folder
[2025-08-20 01:06:11,273] [agents.py:408] 📋 Check detailed error logs:
[2025-08-20 01:06:11,273] [agents.py:409]    cat /home/runner/biomlbench/runs/2025-08-20T01-01-57-GMT_run-group_biomni/polarishub/tdcommons-herg_0a02f91f-ed75-4f4a-a487-753ff73f75a5/run.log
[2025-08-20 01:06:11,273] [agents.py:413] 🚨 AGENT EXECUTION FAILED - See errors above
Traceback (most recent call last):
  File "/home/runner/biomlbench/.venv/bin/biomlbench", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File "/home/runner/biomlbench/biomlbench/cli.py", line 460, in main
    run_agent(args)
  File "/home/runner/biomlbench/biomlbench/agents.py", line 464, in run_agent
    run_group, submission_path = asyncio.run(
                                 ^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 195, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File "/home/runner/.local/share/uv/python/cpython-3.12.11-linux-x86_64-gnu/lib/python3.12/asyncio/runners.py", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
